fixture,instances,normalized_observed_request_bytes,normalized_persisted_request_bytes,observed_status_json_bytes,persisted_status_json_bytes,instance_rows_total_bytes,ready_pod_count_marginal_bytes,scheduled_pod_count_marginal_bytes,nodes_occupied_marginal_bytes,pod_observation_marginal_bytes,operation_marginal_bytes,last_failure_marginal_bytes,top_level_migrations_marginal_bytes,persisted_reduction_bytes,persisted_reduction_percent
steady-singleton,0,1445,1445,411,411,2,0,0,0,0,0,0,0,0,0.00
steady-singleton,1,1826,1743,792,709,243,18,22,43,83,0,0,0,83,4.55
steady-singleton,100,25888,17588,24852,16552,24291,1800,2200,4300,8300,0,0,0,8300,32.06
steady-singleton,1000,245495,162495,244458,161458,243891,18000,22000,43000,83000,0,0,0,83000,33.81
steady-singleton,2000,490495,324495,489458,323458,488891,36000,44000,86000,166000,0,0,0,166000,33.84
steady-singleton,5000,1225495,810495,1224458,809458,1223891,90000,110000,215000,415000,0,0,0,415000,33.86
steady-gang-8,0,1802,1802,411,411,2,0,0,0,0,0,0,0,0,0.00
steady-gang-8,1,2358,2100,967,709,418,18,22,218,258,0,0,0,258,10.94
steady-gang-8,100,43745,17945,42352,16552,41791,1800,2200,21800,25800,0,0,0,25800,58.98
steady-gang-8,1000,420852,162852,419458,161458,418891,18000,22000,218000,258000,0,0,0,258000,61.30
steady-gang-8,2000,840852,324852,839458,323458,838891,36000,44000,436000,516000,0,0,0,516000,61.37
steady-gang-8,5000,2100852,810852,2099458,809458,2098891,90000,110000,1090000,1290000,0,0,0,1290000,61.40
creating-operation,0,1802,1802,411,411,2,0,0,0,0,0,0,0,0,0.00
creating-operation,1,2179,2179,788,788,343,0,0,0,0,252,0,0,0,0.00
creating-operation,100,36131,36131,34738,34738,34291,0,0,0,0,25200,0,0,0,0.00
creating-operation,1000,345733,345733,344339,344339,343891,0,0,0,0,252000,0,0,0,0.00
creating-operation,2000,690733,690733,689339,689339,688891,0,0,0,0,504000,0,0,0,0.00
creating-operation,5000,1725733,1725733,1724339,1724339,1723891,0,0,0,0,1260000,0,0,0,0.00
updating-in-place,0,1802,1802,411,411,2,0,0,0,0,0,0,0,0,0.00
updating-in-place,1,2568,2310,1177,919,715,18,22,218,258,251,0,0,258,10.05
updating-in-place,100,73350,47550,71957,46157,71491,1800,2200,21800,25800,25100,0,0,25800,35.17
updating-in-place,1000,717753,459753,716359,458359,715891,18000,22000,218000,258000,251000,0,0,258000,35.95
updating-in-place,2000,1434753,918753,1433359,917359,1432891,36000,44000,436000,516000,502000,0,0,516000,35.96
updating-in-place,5000,3585753,2295753,3584359,2294359,3583891,90000,110000,1090000,1290000,1255000,0,0,1290000,35.98
updating-surge,0,1445,1445,411,411,2,0,0,0,0,0,0,0,0,0.00
updating-surge,1,2102,1994,1068,960,564,18,22,68,108,250,0,0,108,5.14
updating-surge,100,58839,48039,57803,47003,57291,1800,2200,6800,10800,25000,0,0,10800,18.36
updating-surge,1000,575444,467444,574407,466407,573891,18000,22000,68000,108000,250000,0,0,108000,18.77
updating-surge,2000,1150444,934444,1149407,933407,1148891,36000,44000,136000,216000,500000,0,0,216000,18.78
updating-surge,5000,2875444,2335444,2874407,2334407,2873891,90000,110000,340000,540000,1250000,0,0,540000,18.78
deleting-wave,0,1802,1802,411,411,2,0,0,0,0,0,0,0,0,0.00
deleting-wave,1,2524,2266,1133,875,626,18,22,218,258,247,0,0,258,10.22
deleting-wave,100,64499,38699,63106,37306,62591,1800,2200,21800,25800,24700,0,0,25800,40.00
deleting-wave,1000,628804,370804,627410,369410,626891,18000,22000,218000,258000,247000,0,0,258000,41.03
deleting-wave,2000,1256804,740804,1255410,739410,1254891,36000,44000,436000,516000,494000,0,0,516000,41.06
deleting-wave,5000,3140804,1850804,3139410,1849410,3138891,90000,110000,1090000,1290000,1235000,0,0,1290000,41.07
kueue-gated,0,1802,1802,411,411,2,0,0,0,0,0,0,0,0,0.00
kueue-gated,1,2237,2237,846,846,381,0,0,0,0,233,0,0,0,0.00
kueue-gated,100,39953,39953,38560,38560,38091,0,0,0,0,23300,0,0,0,0.00
kueue-gated,1000,383756,383756,382362,382362,381891,0,0,0,0,233000,0,0,0,0.00
kueue-gated,2000,766756,766756,765362,765362,764891,0,0,0,0,466000,0,0,0,0.00
kueue-gated,5000,1915756,1915756,1914362,1914362,1913891,0,0,0,0,1165000,0,0,0,0.00
failure-realistic,0,2046,2046,655,655,2,0,0,0,0,0,0,0,0,0.00
failure-realistic,1,2969,2736,1578,1345,869,18,22,193,233,254,217,0,233,7.85
failure-realistic,100,88997,65697,87604,64304,86891,1800,2200,19300,23300,25400,21700,0,23300,26.18
failure-realistic,1000,872000,639000,870606,637606,869891,18000,22000,193000,233000,254000,217000,0,233000,26.72
failure-realistic,2000,1743000,1277000,1741606,1275606,1740891,36000,44000,386000,466000,508000,434000,0,466000,26.74
failure-realistic,5000,4356000,3191000,4354606,3189606,4353891,90000,110000,965000,1165000,1270000,1085000,0,1165000,26.74
failure-large,0,2046,2046,655,655,2,0,0,0,0,0,0,0,0,0.00
failure-large,1,3944,3711,2553,2320,1844,18,22,193,233,254,1192,0,233,5.91
failure-large,100,186497,163197,185104,161804,184391,1800,2200,19300,23300,25400,119200,0,23300,12.49
failure-large,1000,1847000,1614000,1845606,1612606,1844891,18000,22000,193000,233000,254000,1192000,0,233000,12.62
