# First 50 tensor entries from AWQ model.safetensors header
# Total tensors: 739
# Format: tensor_name dtype shape
lm_head.weight F16 [32000, 4096]
model.embed_tokens.weight F16 [32000, 4096]
model.layers.0.input_layernorm.weight F16 [4096]
model.layers.0.mlp.down_proj.qweight I32 [11008, 512]
model.layers.0.mlp.down_proj.qzeros I32 [86, 512]
model.layers.0.mlp.down_proj.scales F16 [86, 4096]
model.layers.0.mlp.gate_proj.qweight I32 [4096, 1376]
model.layers.0.mlp.gate_proj.qzeros I32 [32, 1376]
model.layers.0.mlp.gate_proj.scales F16 [32, 11008]
model.layers.0.mlp.up_proj.qweight I32 [4096, 1376]
model.layers.0.mlp.up_proj.qzeros I32 [32, 1376]
model.layers.0.mlp.up_proj.scales F16 [32, 11008]
model.layers.0.post_attention_layernorm.weight F16 [4096]
model.layers.0.self_attn.k_proj.qweight I32 [4096, 512]
model.layers.0.self_attn.k_proj.qzeros I32 [32, 512]
model.layers.0.self_attn.k_proj.scales F16 [32, 4096]
model.layers.0.self_attn.o_proj.qweight I32 [4096, 512]
model.layers.0.self_attn.o_proj.qzeros I32 [32, 512]
model.layers.0.self_attn.o_proj.scales F16 [32, 4096]
model.layers.0.self_attn.q_proj.qweight I32 [4096, 512]
model.layers.0.self_attn.q_proj.qzeros I32 [32, 512]
model.layers.0.self_attn.q_proj.scales F16 [32, 4096]
model.layers.0.self_attn.v_proj.qweight I32 [4096, 512]
model.layers.0.self_attn.v_proj.qzeros I32 [32, 512]
model.layers.0.self_attn.v_proj.scales F16 [32, 4096]
model.layers.1.input_layernorm.weight F16 [4096]
model.layers.1.mlp.down_proj.qweight I32 [11008, 512]
model.layers.1.mlp.down_proj.qzeros I32 [86, 512]
model.layers.1.mlp.down_proj.scales F16 [86, 4096]
model.layers.1.mlp.gate_proj.qweight I32 [4096, 1376]
model.layers.1.mlp.gate_proj.qzeros I32 [32, 1376]
model.layers.1.mlp.gate_proj.scales F16 [32, 11008]
model.layers.1.mlp.up_proj.qweight I32 [4096, 1376]
model.layers.1.mlp.up_proj.qzeros I32 [32, 1376]
model.layers.1.mlp.up_proj.scales F16 [32, 11008]
model.layers.1.post_attention_layernorm.weight F16 [4096]
model.layers.1.self_attn.k_proj.qweight I32 [4096, 512]
model.layers.1.self_attn.k_proj.qzeros I32 [32, 512]
model.layers.1.self_attn.k_proj.scales F16 [32, 4096]
model.layers.1.self_attn.o_proj.qweight I32 [4096, 512]
model.layers.1.self_attn.o_proj.qzeros I32 [32, 512]
model.layers.1.self_attn.o_proj.scales F16 [32, 4096]
model.layers.1.self_attn.q_proj.qweight I32 [4096, 512]
model.layers.1.self_attn.q_proj.qzeros I32 [32, 512]
model.layers.1.self_attn.q_proj.scales F16 [32, 4096]
model.layers.1.self_attn.v_proj.qweight I32 [4096, 512]
model.layers.1.self_attn.v_proj.qzeros I32 [32, 512]
model.layers.1.self_attn.v_proj.scales F16 [32, 4096]
model.layers.10.input_layernorm.weight F16 [4096]
model.layers.10.mlp.down_proj.qweight I32 [11008, 512]
